"country","category","rental_count"
"India","Action","118"
"India","Sports","115"
"India","Documentary","114"
"China","Animation","113"
"India","Animation","111"
"India","Sci-Fi","106"
"India","Children","106"
"India","Foreign","106"
"China","Family","105"
"China","Drama","105"
"India","Classics","104"
"India","Family","102"
"China","Sports","100"
"India","Drama","97"
"China","Games","92"
"China","New","90"
"India","New","89"
"China","Children","89"
"China","Classics","88"
"India","Comedy","88"
"India","Horror","88"
"China","Comedy","88"
"China","Action","87"
"China","Documentary","87"
"China","Foreign","84"
"China","Sci-Fi","82"
"China","Music","79"
"India","Games","78"
"India","Music","77"
"China","Horror","74"
"United States","Documentary","74"
"United States","Sports","73"
"India","Travel","73"
"Mexico","Sports","69"
"United States","Drama","69"
"United States","Animation","68"
"Japan","Animation","68"
"United States","Family","66"
"Brazil","Sci-Fi","64"
"United States","Foreign","64"
"Japan","Sci-Fi","64"
"Japan","Drama","63"
"Mexico","Drama","63"
"China","Travel","63"
"United States","Horror","62"
"United States","Sci-Fi","62"
"Mexico","Sci-Fi","62"
"United States","Action","62"
"Japan","Documentary","60"
"United States","Games","60"
"Russian Federation","Family","60"
"United States","Comedy","59"
"Japan","New","59"
"Mexico","Documentary","58"
"Philippines","Animation","58"
"Brazil","Sports","57"
"Mexico","Foreign","57"
"Mexico","Action","56"
"United States","Children","56"
"Brazil","Animation","55"
"Russian Federation","Animation","55"
"United States","New","55"
"Japan","Sports","54"
"Brazil","Drama","54"
"United States","Classics","54"
"Russian Federation","Action","53"
"Mexico","Children","52"
"Brazil","Documentary","52"
"Japan","Classics","52"
"Brazil","Action","51"
"Mexico","Family","51"
"United States","Music","51"
"Japan","Comedy","50"
"Japan","Children","50"
"Japan","Games","50"
"Philippines","Foreign","49"
"Japan","Travel","49"
"Mexico","Games","49"
"Russian Federation","Games","49"
"Mexico","Animation","48"
"Japan","Family","46"
"Brazil","Foreign","46"
"Mexico","Classics","46"
"Russian Federation","Classics","46"
"Russian Federation","Documentary","46"
"Brazil","New","45"
"Mexico","Travel","45"
"Brazil","Family","44"
"Japan","Foreign","44"
"Russian Federation","Sci-Fi","44"
"Russian Federation","Children","43"
"Brazil","Children","43"
"Japan","Action","43"
"Philippines","Family","42"
"Brazil","Horror","42"
"Brazil","Classics","42"
"Brazil","Travel","42"
"Russian Federation","Travel","41"
"Russian Federation","Music","41"
"Russian Federation","New","41"
"Russian Federation","Comedy","40"
"Russian Federation","Sports","40"
"Russian Federation","Foreign","39"
"Japan","Horror","39"
"Russian Federation","Drama","39"
"Philippines","Sports","39"
"Philippines","Comedy","38"
"Brazil","Comedy","38"
"Brazil","Games","37"
"Argentina","Documentary","37"
"Mexico","Music","36"
"Russian Federation","Horror","36"
"Mexico","Comedy","36"
"Brazil","Music","36"
"Philippines","Games","35"
"Japan","Music","34"
"Mexico","New","34"
"Mexico","Horror","34"
"Turkey","Drama","34"
"United States","Travel","33"
"Turkey","Action","33"
"Philippines","Drama","33"
"Indonesia","Action","32"
"Philippines","Children","32"
"Philippines","Music","31"
"Philippines","New","31"
"Philippines","Action","31"
"Philippines","Sci-Fi","31"
"South Africa","Sports","31"
"Nigeria","Foreign","30"
"Taiwan","Animation","30"
"Philippines","Travel","30"
"Philippines","Horror","30"
"Turkey","Horror","29"
"Argentina","Sports","29"
"Nigeria","Documentary","29"
"Philippines","Classics","29"
"Philippines","Documentary","29"
"Argentina","Family","29"
"Argentina","Sci-Fi","28"
"Nigeria","Sci-Fi","27"
"Turkey","Children","27"
"Turkey","Sci-Fi","27"
"Turkey","Animation","26"
"Argentina","Animation","26"
"Indonesia","Animation","26"
"Nigeria","Sports","26"
"Indonesia","New","26"
"Indonesia","Drama","26"
"Indonesia","Classics","26"
"Indonesia","Family","26"
"South Africa","Animation","25"
"Turkey","Documentary","25"
"Indonesia","Games","25"
"Turkey","Comedy","25"
"Argentina","Action","25"
"Indonesia","Children","24"
"Taiwan","Drama","24"
"Nigeria","Comedy","24"
"Taiwan","Family","24"
"Turkey","Family","24"
"South Africa","Games","23"
"Argentina","Games","23"
"Indonesia","Foreign","23"
"Nigeria","Children","23"
"Taiwan","Action","23"
"Turkey","Sports","23"
"Turkey","Foreign","23"
"Nigeria","Horror","23"
"Argentina","Travel","22"
"Poland","Sports","22"
"Indonesia","Sci-Fi","22"
"Taiwan","Games","22"
"Indonesia","Documentary","22"
"South Africa","Documentary","21"
"Turkey","New","21"
"South Africa","Classics","21"
"Nigeria","Action","21"
"United Kingdom","Sports","21"
"Turkey","Music","21"
"Germany","Animation","21"
"South Africa","Sci-Fi","21"
"Indonesia","Sports","21"
"Nigeria","Animation","21"
"Nigeria","Family","21"
"Taiwan","Documentary","20"
"Iran","Classics","20"
"Taiwan","Children","20"
"South Africa","Action","20"
"Indonesia","Music","20"
"Argentina","Drama","20"
"Taiwan","Classics","20"
"Taiwan","New","20"
"Nigeria","Classics","19"
"Nigeria","Music","19"
"Taiwan","Foreign","19"
"Italy","Family","18"
"Nigeria","Drama","18"
"Argentina","Classics","18"
"Iran","Comedy","18"
"Argentina","Foreign","18"
"Germany","Action","18"
"Turkey","Classics","18"
"Argentina","Music","18"
"Turkey","Travel","18"
"Taiwan","Sci-Fi","18"
"South Africa","Music","18"
"United Kingdom","Sci-Fi","18"
"Ukraine","Action","18"
"Nigeria","Games","17"
"Nigeria","New","17"
"Argentina","New","17"
"Spain","Games","17"
"United Kingdom","Drama","17"
"Indonesia","Travel","17"
"Nigeria","Travel","17"
"Poland","Comedy","17"
"United Kingdom","Action","17"
"Egypt","Sci-Fi","17"
"United Kingdom","Documentary","17"
"Poland","New","17"
"Italy","Children","17"
"Vietnam","Drama","16"
"Indonesia","Horror","16"
"Iran","Family","16"
"Colombia","Animation","16"
"Iran","Action","16"
"Iran","Sci-Fi","16"
"Venezuela","Action","16"
"United Kingdom","Games","16"
"Ukraine","Animation","16"
